H|U2222116|CashReport|20221205|04:14:41|20221202|1.98|
Type|AccountID|ReportDate|Currency|BaseSummary|Label|Total|Securities|Futures|IBUKL|
D|U2222116|20221202|USD|Y|Starting Cash|989930.95849046|910028.80849046|79902.15|0|
D|U2222116|20221202|USD|Y|Other Fees|-125|-125|0|0|
D|U2222116|20221202|USD|Y|Cash FX Translation Gain/Loss|-1782.02254302|-1782.02254302|0|0|
D|U2222116|20221202|USD|Y|Ending Cash|988023.93594744|908121.78594744|79902.15|0|
D|U2222116|20221202|USD|Y|Ending Settled Cash|35230.14594744|-44672.00405256|79902.15|0|
D|U2222116|20221202|AUD|N|Starting Cash|-360549.20463208|-360549.20463208|0|0|
D|U2222116|20221202|AUD|N|Ending Cash|-360549.20463208|-360549.20463208|0|0|
D|U2222116|20221202|AUD|N|Ending Settled Cash|-360549.20463208|-360549.20463208|0|0|
D|U2222116|20221202|CAD|N|Starting Cash|57332.392|57332.392|0|0|
D|U2222116|20221202|CAD|N|Ending Cash|57332.392|57332.392|0|0|
D|U2222116|20221202|CAD|N|Ending Settled Cash|57332.392|57332.392|0|0|
D|U2222116|20221202|CHF|N|Starting Cash|4917.91932005|4917.91932005|0|0|
D|U2222116|20221202|CHF|N|Ending Cash|4917.91932005|4917.91932005|0|0|
D|U2222116|20221202|CHF|N|Ending Settled Cash|4917.91932005|4917.91932005|0|0|
D|U2222116|20221202|CNH|N|Starting Cash|-87592.8325184|-87592.8325184|0|0|
D|U2222116|20221202|CNH|N|Ending Cash|-87592.8325184|-87592.8325184|0|0|
D|U2222116|20221202|CNH|N|Ending Settled Cash|-87592.8325184|-87592.8325184|0|0|
D|U2222116|20221202|EUR|N|Starting Cash|-142439.35168282|-142439.35168282|0|0|
D|U2222116|20221202|EUR|N|Ending Cash|-142439.35168282|-142439.35168282|0|0|
D|U2222116|20221202|EUR|N|Ending Settled Cash|-142439.35168282|-142439.35168282|0|0|
D|U2222116|20221202|GBP|N|Starting Cash|28877.97410968|28877.97410968|0|0|
D|U2222116|20221202|GBP|N|Ending Cash|28877.97410968|28877.97410968|0|0|
D|U2222116|20221202|GBP|N|Ending Settled Cash|28877.97410968|28877.97410968|0|0|
D|U2222116|20221202|HKD|N|Starting Cash|689635.991927|689635.991927|0|0|
D|U2222116|20221202|HKD|N|Ending Cash|689635.991927|689635.991927|0|0|
D|U2222116|20221202|HKD|N|Ending Settled Cash|689635.991927|689635.991927|0|0|
D|U2222116|20221202|JPY|N|Starting Cash|-38392289.19434237|-38392289.19434237|0|0|
D|U2222116|20221202|JPY|N|Ending Cash|-38392289.19434237|-38392289.19434237|0|0|
D|U2222116|20221202|JPY|N|Ending Settled Cash|-38392289.19434237|-38392289.19434237|0|0|
D|U2222116|20221202|MXN|N|Starting Cash|-71685.31592|-71685.31592|0|0|
D|U2222116|20221202|MXN|N|Ending Cash|-71685.31592|-71685.31592|0|0|
D|U2222116|20221202|MXN|N|Ending Settled Cash|-71685.31592|-71685.31592|0|0|
D|U2222116|20221202|NOK|N|Starting Cash|-133790.0963376|-133790.0963376|0|0|
D|U2222116|20221202|NOK|N|Ending Cash|-133790.0963376|-133790.0963376|0|0|
D|U2222116|20221202|NOK|N|Ending Settled Cash|-133790.0963376|-133790.0963376|0|0|
D|U2222116|20221202|SEK|N|Starting Cash|-892114.44811994|-892114.44811994|0|0|
D|U2222116|20221202|SEK|N|Ending Cash|-892114.44811994|-892114.44811994|0|0|
D|U2222116|20221202|SEK|N|Ending Settled Cash|-892114.44811994|-892114.44811994|0|0|
D|U2222116|20221202|SGD|N|Starting Cash|-59960.549372|-59960.549372|0|0|
D|U2222116|20221202|SGD|N|Ending Cash|-59960.549372|-59960.549372|0|0|
D|U2222116|20221202|SGD|N|Ending Settled Cash|-59960.549372|-59960.549372|0|0|
D|U2222116|20221202|USD|N|Starting Cash|1657929.64898199|1578027.49898199|79902.15|0|
D|U2222116|20221202|USD|N|Other Fees|-125|-125|0|0|
D|U2222116|20221202|USD|N|Ending Cash|1657804.64898199|1577902.49898199|79902.15|0|
D|U2222116|20221202|USD|N|Ending Settled Cash|705010.85898199|625108.70898199|79902.15|0|
T|48|
